,Occupation,Age,Location,Income,lat,long
graduate-program-assistant-salary-boston-ma-money-diary,Graduate Program Assistant,26,"Boston, MA",41000,42.3602534,-71.0582912
software-engineer-salary-seattle-washington-money-diary,Software Engineer,23,"Seattle, WA",85000,47.6038321,-122.3300624
engineer-salary-new-york-city-money-diary,Engineer,24,"New York, NY",68224,40.7127281,-74.0060152
editor-salary-madrid-spain-money-diary,Editor,26,"Madrid, Spain",34165,40.4167047,-3.7035825
money-diary-san-diego-ca-attorney-salary,Attorney,32,"San Diego, CA",125000,32.7174202,-117.1627728
money-diary-mississippi-teacher-salary,Teacher,23,Mississippi,34615,32.9715645,-89.7348497
money-diary-dallas-tx-pilot-salary,Pilot,26,"Dallas, TX",69000,32.7762719,-96.7968559
money-diary-los-angeles-resident-physician-salary,"Resident Physician (PGY-1, aka an ""intern"")",28,"Los Angeles, CA",52767,34.0536909,-118.242766
money-diary-legal-sex-worker-nevada-salary,Legal Sex Worker,20,"Mound House, NV",511000,40.9293684,-114.9933784
money-diary-new-york-ny-law-associate-salary,Associate,31,"New York, NY",190000,40.7127281,-74.0060152
money-diary-austin-tx-project-manager-salary,Project Manager,27,"Austin, TX",55000,30.2711286,-97.7436995
money-diary-asheville-nc-dog-trainer-salary,Dog Trainer,24,"Asheville, NC",40000,35.6009498,-82.5540161
money-diary-iowa-box-office-manager-salary,Box Office Manager,22,Iowa,0,41.9216734,-93.3122705
money-diary-ohio-administrative-assistant-salary,Administrative Assistant,38,Central Ohio,37000,41.508774,-82.790454
money-diary-seattle-self-employed-business-owner-salary,Business Owner,37,"Seattle, WA",65000,47.6038321,-122.3300624
money-diary-new-york-ny-brand-coordinator-salary,Brand Coordinator,25,"New York, NY",45000,40.7127281,-74.0060152
money-diary-cedar-park-tx-nurse-consultant-salary,Nurse Consultant,36,"Cedar Park, TX",73000,30.5217116,-97.827833
money-diary-louisville-ky-senior-social-worker-salary,Social Worker,25,"Louisville, KY",44000,38.2542376,-85.759407
money-diary-eastern-oklahoma-emergency-physician-salary,Emergency Physician,31,Eastern Oklahoma,350000,36.6767472,-95.1185774
money-diary-pittsburgh-accountant-salary,Accountant,23,"Pittsburgh, PA",44000,40.4416941,-79.9900861
money-diary-knoxville-tn-data-analyst-salary,Data Analyst,26,"Knoxville, TN",54000,35.9603948,-83.9210261
money-diary-new-york-ny-associate-salary,Associate,30,"New York, NY",380000,40.7127281,-74.0060152
money-diary-north-carolina-occupational-therapist-salary,Occupational Therapist,24,North Carolina,51593,35.6729639,-79.0392919
money-diary-zrich-switzerland-scientist-salary,Scientist,30,"Zürich, Switzerland",91600,47.3744489,8.5410422
money-diary-chicago-supply-chain-associate-salary,Supply Chain Associate,21,"Chicago, IL",60000,41.8755616,-87.6244212
money-diary-arlington-va-administrative-assistant-salary,Administrative Assistant,32,"Arlington, VA",57000,32.701938999999996,-97.10562379033699
money-diary-denver-co-policy-analyst-salary,Policy Analyst,30,"Denver, CO",85000,5.3428475,-72.3959849
money-diary-porto-portugal-software-developer-salary,Software Developer,36,"Porto, Portugal",28960,41.1494512,-8.6107884
money-diary-new-york-ny-project-manager-salary,Project Manager,30,"New York, NY",135000,40.7127281,-74.0060152
money-diary-seattle-wa-research-coordinator-salary,Research Coordinator,26,"Seattle, WA",58000,47.6038321,-122.3300624
money-diary-los-angeles-ca-executive-assistant-salary,Executive Assistant,33,"Los Angeles, CA",56000,34.0536909,-118.242766
money-diary-philadelphia-director-joint-income,Director,33,"Philadelphia, PA",87000,39.9527237,-75.1635262
money-diary-washington-dc-financial-consultant-salary,Financial Consultant,26,Washington DC,80000,38.8949924,-77.0365581
money-diary-new-york-city-paralegal-salary,Paralegal,23,"New York, NY",55000,40.7127281,-74.0060152
money-diary-minneapolis-mn-high-school-counselor-budget-1537155570923,High School Counselor,26,"Minneapolis, MN",55500,44.9772995,-93.2654692
money-diary-missouri-teacher-salary,Teacher,23,Missouri,36000,38.7604815,-92.5617875
money-diary-tucson-arizona-teacher-salary,Fifth Grade Teacher,25,"Tucson, AZ",32926,32.2228765,-110.9748477
money-diary-louisville-ky-teacher-salary,Teacher,32,"Louisville, KY",32000,38.2542376,-85.759407
money-diary-olympia-wa-secondary-teacher-salary,Secondary Teacher,28,"Olympia, WA",42927,47.0451022,-122.8950075
money-diary-chicago-suburbs-teacher-salary,Teacher,25,"Suburbs of Chicago, IL",61000,-33.71745,18.9963167
money-diary-new-york-ny-senior-sales-executive-salary,Senior Sales Executive,35,"New York, NY",150000,40.7127281,-74.0060152
money-diary-fort-lauderdale-fl-data-analyst-salary,Data Analyst,26,"Fort Lauderdale, FL",48000,26.1223084,-80.1433786
money-diary-jersey-city-nj-nurse-practitioner-salary,Nurse Practitioner/Assistant Professor,29,"Jersey City, NJ",96000,40.7281575,-74.0776417
money-diary-tacoma-wa-sponsorship-coordinator-salary,Sponsorship Coordinator,36,"Tacoma, WA",55700,47.2495798,-122.4398746
money-diary-new-hampshire-communications-associate-salary,Communications Associate,38,New Hampshire,50000,43.4849133,-71.6553992
money-diary-fairfax-va-environmental-project-manager-salary,Project Manager,24,"Fairfax, VA",59200,38.8907693,-77.3482828
money-diary-new-york-ny-paralegal-salary,Paralegal,23,"New York, NY",60200,40.7127281,-74.0060152
money-diary-manila-philippines-product-owner-salary,Product Owner,28,"Manila, Philippines",24605,14.5907332,120.9809674
money-diary-san-francisco-ca-program-manager-salary,Program Manager,27,"San Francisco, CA",82600,37.7790262,-122.4199061
money-diary-rapid-city-sd-director-of-digital-content-salary,Director of Digital Content,31,"Rapid City, SD",41600,44.0869329,-103.2274481
money-diary-seattle-wa-internal-consultant-salary,Internal Consultant,32,"Seattle, WA",69000,47.6038321,-122.3300624
money-diary-new-york-ny-analyst-income,Analyst,23,"New York, NY",95000,40.7127281,-74.0060152
money-diary-los-angeles-ca-assistant-general-manager-salary,Assistant General Manager,27,"Los Angeles, CA",51000,34.0536909,-118.242766
money-diary-chicago-il-executive-administrative-assistant-budget-1535060463684,Administrative Assistant,27,"Chicago, IL",47000,41.8755616,-87.6244212
money-diary-arlington-va-project-manager-salary,Project Manager,32,"Arlington, VA",80000,32.701938999999996,-97.10562379033699
money-diary-green-bay-wi-service-associate-income,Service Associate,25,"Green Bay, WI",0,44.5126379,-88.0125794
money-diary-new-york-ny-criminal-justice-policy-fellow-salary,Criminal Justice Policy Fellow,27,"New York, NY",64000,40.7127281,-74.0060152
money-diary-fresno-ca-community-nutrition-educator-salary,Community Nutrition Educator,22,"Fresno, CA",35048,36.7394421,-119.7848307
money-diary-brooklyn-ny-designer-salary,Designer,29,"Brooklyn, NY",70000,40.6501038,-73.9495823
money-diary-austin-tx-librarian-adjunct-professor-salary,Librarian/Adjunct Professor,28,"Austin, TX",74340,30.2711286,-97.7436995
money-diary-kuala-lumpur-malaysia-copywriter-salary,Copywriter,28,"Kuala Lumpur, Malaysia",12000,3.1516964,101.6942371
money-diary-millbrae-bay-area-ca-accountant-salary,Accountant,29,"Bay Area, CA",125000,37.7884969,-122.3558473
money-diary-salt-lake-city-ut-research-fellow-salary,Research Fellow,23,"Salt Lake City, UT",36000,40.7596198,-111.8867975
money-diary-new-york-city-software-engineer-tech-income,Software Engineer,24,"New York, NY",118000,40.7127281,-74.0060152
money-diary-hoboken-nj-senior-marketing-manager-salary,Senior Marketing Manager,27,"Hoboken, NJ",95000,40.7433066,-74.0323752
money-diary-new-york-ny-senior-data-analyst-salary,Senior Data Analyst,28,"New York, NY",134000,40.7127281,-74.0060152
money-diary-boston-ma-consultant-salary,Consultant,24,"Boston, MA",80000,42.3602534,-71.0582912
money-diary-bari-italy-translator-salary,Translator,26,"Bari, Italy",20900,41.1257843,16.8620293
money-diary-los-angeles-receptionist-salary,Receptionist,25,"Los Angeles, CA",40000,34.0536909,-118.242766
money-diary-philadelphia-pa-scientist-salary,Scientist,25,"Philadelphia, PA",70000,39.9527237,-75.1635262
money-diary-nyc-flight-attendant-salary,Flight Attendant,27,NYC,50000,40.7127281,-74.0060152
money-diary-brussels-project-manager-salary,Project Manager,29,"Brussels, Belgium",47600,50.8465573,4.351697
money-diary-silicon-valley-ca-mechanical-design-engineer-salary,Mechanical Design Engineer,24,"Silicon Valley, CA",78000,37.4429964,-122.1545229
money-diary-singapore-senior-executive-salary,Senior Executive,26,Singapore,45000,1.357107,103.8194992
money-diary-providence-ri-membership-manager-salary,Membership Manager,35,"Providence, RI",42000,41.8239891,-71.4128343
money-diary-new-york-ny-administrator-salary,Administrator,29,"New York, NY",55000,40.7127281,-74.0060152
money-diary-denver-co-design-strategist-salary,Design Strategist,31,"Denver, CO",140000,5.3428475,-72.3959849
money-diary-philadelphia-pa-maternal-fetal-physician-salary,Maternal Fetal Medicine Physician,30,"Philadelphia, PA",65000,39.9527237,-75.1635262
money-diary-los-angeles-account-manager-salary,Account Manager,25,"Los Angeles, CA",65000,34.0536909,-118.242766
money-diary-vermont-school-zero-waste-coordinator-salary,School Zero Waste Coordinator,26,Vermont,33000,44.5990718,-72.5002608
money-diary-st-paul-minnesota-disability,On Disability,30,"St. Paul, MN",25000,44.9504037,-93.1015026
money-diary-nashville-tn-research-project-coordinator-salary,Research Project Coordinator,28,"Nashville, TN",37000,36.1622296,-86.7743531
money-diary-new-york-city-product-manager-salary,Product Manager,24,NYC,86000,40.7127281,-74.0060152
money-diary-eugene-oregon-development-analyst-salary,Development Analyst,29,"Eugene, OR",58000,44.0505054,-123.0950506
money-diary-chicago-twin-diary-special-education-teacher-salary,Special Education Teacher,27,"Chicago, IL",50000,41.8755616,-87.6244212
money-diary-queens-nyc-technical-program-manager-salary,Technical Program Manager,27,"Queens, NY",73000,40.7498243,-73.7976337
money-diary-chicago-il-twin-sr-analyst-salary,Analyst,25,"Chicago, IL",75000,41.8755616,-87.6244212
money-diary-chicago-social-media-planner-salary,Social Media Planner,25,Chicago,65000,41.8755616,-87.6244212
money-diary-seattle-wa-transportation-engineer-salary,Transportation Engineer,28,"Seattle, WA",73000,47.6038321,-122.3300624
money-diary-san-diego-ca-teacher-salary,Teacher,28,"San Diego, CA",53000,32.7174202,-117.1627728
money-diary-dayton-ohio-sales-commissions-analyst-salary,Sales Analyst,29,"Dayton, Ohio",45000,39.7589478,-84.1916069
money-diary-washington-dc-editor-salary,Editor,26,"Washington, D.C.",41000,36.29885175,-82.35919331410948
money-diary-los-angeles-head-of-production-budget-1530653120437,Production Manager,29,Los Angeles,80000,34.0536909,-118.242766
money-diary-st-louis-mo-strategic-projects-salary,Strategist,26,"St. Louis, MO",55000,38.6529545,-90.24111656024635
money-diary-new-orleans-la-controls-engineer-salary,Controls Engineer,27,"New Orleans, LA",78000,29.9499323,-90.0701156
money-diary-oxnard-ca-design-marketing-coordinator-salary,Marketing Coordinator,30,"Oxnard, CA",57500,34.1976308,-119.1803818
money-diary-brooklyn-ny-coordinator-of-family-services-salary,Coordinator of Family Services,29,"Brooklyn, NY",52000,40.6501038,-73.9495823
money-diary-shanghai-china-copywriter-salary,Copywriter,25,"Shanghai, China",36000,31.2322758,121.4692071
money-diary-san-francisco-ca-recruiter-salary,Recruiter,25,"San Francisco, CA",85000,37.7790262,-122.4199061
money-diary-west-virgina-branch-manager-salary,Branch Manager,32,West Virginia,48000,38.4758406,-80.8408415
money-diary-washington-dc-assistant-to-vp-salary,Assistant to VP,22,"Washington, D.C.",45000,36.29885175,-82.35919331410948
money-diary-manchester-nh-digital-marketing-specialist-salary,Social Media Specialist,23,"Manchester, NH",47500,42.9956397,-71.4547891
money-diary-philadelphia-software-consultant-salary,Consultant,26,Greater Philadelphia Area,65000,6.2746772,-10.747725699249319
money-diary-cincinnati-oh-archivist-salary,Archivist,30,"Cincinnati, OH",53372,39.1014537,-84.5124602
money-diary-san-jose-ca-content-marketing-manager-hospitality-salary,Content Marketing Manager,26,"San Jose, CA",85000,37.3361905,-121.890583
money-diary-lincoln-ne-graduate-research-assistant-salary,Graduate Research Assistant,29,"Lincoln, NE",21000,40.8088861,-96.7077751
money-diary-pune-india-senior-project-manager-salary,Senior Project Manager,27,"Pune, India",34153,18.521428,73.8544541
money-diary-sydney-australia-bartender-student-salary,Bartender/Grad Student,24,"Sydney, Australia",0,-33.8548157,151.2164539
money-diary-arlington-va-consultant-salary,Consultant,26,"Arlington, VA",90000,32.701938999999996,-97.10562379033699
money-diary-los-angeles-evaluator-salary,Evaluator,29,"Los Angeles, CA",43500,34.0536909,-118.242766
money-diary-denver-co-engineer-salary,Engineer,32,"Denver, CO",85000,5.3428475,-72.3959849
money-diary-dublin-ireland-digital-marketing-account-manager-salary,Digital Marketing Account Manager,26,"Dublin, Ireland",37100,53.3497645,-6.2602732
money-diary-orange-county-ca-sr-marketing-manager-salary,Senior Marketing Manager,35,"Orange County, CA",210000,33.7500378,-117.8704931
money-diary-nyc-senior-marketing-analyst-salary,Senior Marketing Analyst,23,New York City,83000,40.7127281,-74.0060152
money-diary-portland-or-graphic-designer-salary,Graphic Designer,32,"Portland, OR",60000,45.5202471,-122.6741949
money-diary-boston-ma-data-scientist-salary,Data Scientist,27,"Boston, MA",135000,42.3602534,-71.0582912
money-diary-chicago-il-project-manager-travel-salary,Project Manager,28,"Chicago, IL",90900,41.8755616,-87.6244212
money-diary-norton-shores-mi-client-services-advisor-support-salary,Client Services Specialist,28,"Norton Shores, MI",35525,43.1689044,-86.2639461
money-diary-upstate-new-york-program-manager-salary,Program Manager,25,Upstate New York,31200,40.7263224,-73.9864498
money-diary-petaluma-ca-digital-marketing-specialist-salary,Digital Marketing Specialist,22,"Petaluma, CA",65000,38.2325829,-122.636465
money-diary-new-york-new-york-senior-analyst-salary,Senior Analyst,30,New York City,99000,40.7127281,-74.0060152
money-diary-st-paul-mn-corporate-accounting-manager-salary,Corporate Accounting Manager,31,"St. Paul, MN",95000,44.9504037,-93.1015026
money-diary-conroe-tx-teacher-salary,Teacher,32,"Conroe, TX (north of Houston)",54000,30.316983999999998,-95.45706819172258
money-diary-los-angeles-ca-video-editor-salary,Video Editor,29,"Los Angeles, CA",135000,34.0536909,-118.242766
money-diary-norman-oklahoma-assistant-director-salary,Assistant Director,25,"Norman, OK",38000,35.2225717,-97.4394816
money-diary-salt-lake-city-graphic-designer-salary,Graphic Designer,25,"Salt Lake City, UT",50000,40.7596198,-111.8867975
money-diary-boston-ma-marketing-data-analyst-salary,Marketing Data Analyst,24,"Boston, MA",79000,42.3602534,-71.0582912
money-diary-new-york-ny-program-director-salary,Program Director,29,"New York, NY",106000,40.7127281,-74.0060152
money-diary-central-valley-california-part-time-attorney-salary,Part-Time Attorney,32,"Central Valley, CA",75000,38.0,-121.4
money-diary-daejeon-south-korea-guest-english-teacher-salary,Guest English Teacher,24,"Daejeon, South Korea",25000,36.3496,127.3848
money-diary-los-angeles-ca-stylist-salary,Stylist,30,"Los Angeles, CA",36400,34.0536909,-118.242766
money-diary-boise-id-sales-manager-salary,Sales Manager,26,"Boise, ID",65000,43.6166163,-116.200886
money-diary-singapore-consultant-salary,Consultant,34,Singapore,21594,1.357107,103.8194992
money-diary-las-vegas-vice-president-salary,Vice President,27,Las Vegas,85000,36.1672559,-115.1485163
money-diary-new-york-city-analyst-salary,Analyst,22,"New York, NY",85000,40.7127281,-74.0060152
money-diary-melbourne-australia-health-promotion-officer-salary,Health Promotion Officer,31,"Melbourne, Australia",56084,-37.8142176,144.9631608
money-diary-munich-office-manager-salary,Office Manager,24,"Munich, Germany",60093,48.1371079,11.5753822
money-diary-berkeley-ca-software-engineer-salary,Software Engineer,21,"Berkeley, CA",135000,37.8708393,-122.2728639
money-diary-mexico-city-mexico-analyst-salary,Analyst,27,"Mexico City, Mexico",92000,19.4326296,-99.1331785
money-diary-new-york-ny-analyst-salary,Analyst,23,"New York, NY",54000,40.7127281,-74.0060152
money-diary-houston-tx-business-analyst-salary,Business Analyst,30,"Houston, TX",72000,29.7589382,-95.3676974
money-diary-seattle-washington-environmental-specialist-salary,Environmental Specialist,24,"Seattle, WA",43500,47.6038321,-122.3300624
money-diary-los-angeles-ca-office-manager-salary,Office Manager,27,"Los Angeles, CA",55000,34.0536909,-118.242766
money-diary-new-orleans-la-associate-clinical-research-coordinator-salary,Associate Clinical Research Coordinator,26,"New Orleans, LA",37000,29.9499323,-90.0701156
money-diary-san-diego-human-resources-manager-salary,Human Resources Manager,30,"San Diego, CA",112500,32.7174202,-117.1627728
money-diary-niigata-japan-assistant-language-teacher-salary,Assistant Language Teacher,25,"Niigata, Japan",32780,37.6452283,138.7669125
money-diary-new-york-ny-programmer-salary,Programmer,23,"New York, NY",70000,40.7127281,-74.0060152
money-diary-boston-ma-communication-specialist-salary,Communication Specialist,26,"Boston, MA",47000,42.3602534,-71.0582912
money-diary-vancouver-bc-key-account-specialist-salary,Key Account Specialist,32,"Vancouver, BC",39500,49.2608724,-123.1139529
money-diary-chicago-il-copywriter-salary,Copywriter,22,"Chicago, IL",42000,41.8755616,-87.6244212
money-diary-southern-new-hampshire-registered-nurse-salary,Travel Registered Nurse,23,Southern New Hampshire,60000,43.0374605,-71.44783921922284
money-diary-detroit-michigan-copywriter-salary,Copywriter,24,"Detroit, Michigan",38000,42.3315509,-83.0466403
money-diary-new-york-city-project-coordinator-salary,Project Coordinator,33,New York City,32084,40.7127281,-74.0060152
money-diary-san-francisco-bay-area-gameplay-engineer-salary,Gameplay Engineer,34,San Francisco,114500,37.7790262,-122.4199061
money-diary-singapore-partner-manager-salary,Partner Manager,31,Singapore,77088,1.357107,103.8194992
money-diary-melbourne-australia-doctor-salary,Assistant Surgeon & Full-Time PhD Student,31,"Melbourne, Australia",91972,-37.8142176,144.9631608
money-diary-toulouse-pediatric-nurse-salary,Pediatric Nurse,31,"Toulouse, France",41000,43.6044622,1.4442469
money-diary-montreal-canada-managing-editor-salary,Managing Editor,25,"Montreal, Canada",60000,45.4972159,-73.6103642
money-diary-brooklyn-ny-interior-designer-salary,Interior Designer,29,"Brooklyn, NY",84000,40.6501038,-73.9495823
money-diary-essex-county-ma-marketing-communications-manager-salary,Marketing Communications Manager,35,"Essex County, MA",85000,42.6762973,-70.9486776
money-diary-fort-worth-tx-finance-manager-salary,Finance Manager,32,"Fort Worth, TX",95827,32.753177,-97.3327459
money-diary-san-diego-ca-associate-salary,Associate,29,"San Diego, CA",260000,32.7174202,-117.1627728
money-diary-indiana-analyst-salary,Analyst,25,Indiana,57000,40.3270127,-86.1746933
money-diary-grand-rapids-michigan-english-teacher-salary,English Teacher,26,"Grand Rapids, Michigan",41000,42.9632405,-85.6678639
money-diary-alaska-entrepreneur-salary,Entrepreneur,28,Alaska,60000,64.4459613,-149.680909
money-diary-brooklyn-ny-americorps-member-salary,AmeriCorps Member,23,"Brooklyn, NY",17700,40.6501038,-73.9495823
money-diary-seattle-wa-graphic-design-marketing-salary,Graphic Design & Marketing,28,"Seattle, WA",52000,47.6038321,-122.3300624
money-diary-dallas-tx-social-media-assistant-salary,Social Media Assistant,22,"Dallas, TX",45000,32.7762719,-96.7968559
money-diary-los-angeles-ca-marketing-coordinator-salary,Marketing Coordinator,25,"Los Angeles, CA",46000,34.0536909,-118.242766
money-diary-atlanta-ga-paralegal-salary,Paralegal,25,"Atlanta, GA",46000,33.7489924,-84.3902644
money-diary-baltimore-program-associate-salary,Program Associate,25,"Baltimore, MD",44000,39.2908816,-76.610759
money-diary-melbourne-australia-police-call-taker-salary,Police Call Taker,31,"Melbourne, Australia",42834,-37.8142176,144.9631608
money-diary-buffalo-ny-adminsales-support-salary,Administrator,35,"Buffalo, NY",36000,42.8867166,-78.8783922
money-diary-dubai-united-arab-emirates-social-studies-teacher-salary,Social Studies Teacher,23,"Dubai, United Arab Emirates",36960,25.0750095,55.18876088183319
money-diary-hoboken-nj-media-strategist-salary,Media Strategist,27,"Hoboken, NJ",55000,40.7433066,-74.0323752
money-diary-san-diego-ca-materials-engineer-salary,Materials Engineer,29,"San Diego, CA",108000,32.7174202,-117.1627728
money-diary-las-vegas-nv-gaming-analyst-salary,Gaming Analyst,24,"Las Vegas, NV",50000,36.1672559,-115.1485163
money-diary-hamburg-clinical-project-manager-salary,Clinical Project Manager,29,"Hamburg, Germany",65000,53.550341,10.000654
money-diary-new-york-ny-entrepreneur-salary,Entrepreneur,26,"New York, NY",115000,40.7127281,-74.0060152
money-diary-washington-dc-staff-assistant-salary,Assistant,23,"Washington, D.C.",40000,36.29885175,-82.35919331410948
money-diary-dallas-graphic-designer-salary,Graphic Designer,25,"Dallas, TX",62000,32.7762719,-96.7968559
money-diary-los-angeles-head-of-development-salary,Head of Development,27,Los Angeles,90000,34.0536909,-118.242766
money-diary-wilmington-de-web-content-coordinator-salary,Web Content Coordinator,29,"Wilmington, DE",39728,39.7459468,-75.546589
money-diary-tallahassee-fl-policy-analyst-salary,Policy Analyst,25,"Tallahassee, Fl",42000,30.4380832,-84.2809332
money-diary-portland-or-human-resources-manager-salary,HR Manager,22,"Portland, OR",50000,45.5202471,-122.6741949
money-diary-astoria-new-york-research-analyst-salary,Research Analyst,33,"Astoria, New York",59000,40.7720145,-73.9302673
money-diary-scottsdale-az-program-coordinator-salary,Program Coordinator,27,"Scottsdale, AZ",41500,33.4942189,-111.9260184
money-diary-chicago-il-associate-salary,Associate,30,"Chicago, IL",180000,41.8755616,-87.6244212
money-diary-spartanburg-sc-case-manager-salary,Case Manager,24,"Spartanburg, SC",38500,34.9498007,-81.9320157
money-diary-minneapolis-mn-human-resources-business-partner-salary,Human Resources Business Partner,34,"Minneapolis, MN",68888,44.9772995,-93.2654692
money-diary-boston-ma-digital-strategist-salary,Digital Strategist,24,"Boston, MA",56100,42.3602534,-71.0582912
money-diary-brooklyn-ny-marketing-and-communications-associate-salary,Marketing Associate,23,"Brooklyn, NY",44000,40.6501038,-73.9495823
money-diary-arlington-va-analyst-salary,Analyst,22,"Arlington, VA",66000,32.701938999999996,-97.10562379033699
money-diary-cambridge-ma-lead-toddler-teacher-salary,Lead Toddler Teacher,24,"Cambridge, MA",32800,42.3750997,-71.1056157
money-diary-san-francisco-project-manager-salary,Project Manager,35,San Francisco,125000,37.7790262,-122.4199061
money-diary-alabama-attorney-salary,Attorney,35,Alabama,115000,33.2588817,-86.8295337
money-diary-new-york-ny-social-worker-salary,Social Worker,28,"New York, NY",52000,40.7127281,-74.0060152
money-diary-london-lawyer-salary,Lawyer,29,London,122500,51.5073219,-0.1276474
money-diary-somerville-ma-food-stamps-advocate-salary,SNAP (Food Stamps) Advocate,24,"Somerville, MA",40000,42.3875968,-71.0994968
money-diary-baltimore-md-senior-media-relations-representative-salary,Media Relations Representative,25,"Baltimore, MD",62878,39.2908816,-76.610759
money-diary-massachusetts-copywriter-salary,Copywriter,24,Massachusetts,40000,42.3788774,-72.032366
money-diary-cape-town-south-africa-digital-account-manager-salary,Digital Account Manager,29,"Cape Town, South Africa",23150,-33.928992,18.417396
money-diary-new-york-associate-fashion-designer-salary,Associate Fashion Designer,27,"New York, NY",68000,40.7127281,-74.0060152
money-diary-dallas-tx-project-writer-salary,Project Writer,27,"Dallas, TX",66000,32.7762719,-96.7968559
money-diary-chicago-consultant-salary,Consultant,28,"Chicago, IL",82000,41.8755616,-87.6244212
money-diary-kenosha-wi-retirement-plans-analyst-salary,Retirement Analyst,25,"Kenosha, WI",54500,42.5846773,-87.8212263
money-diary-seattle-wa-it-professional-salary,IT Professional,31,"Seattle, WA",65400,47.6038321,-122.3300624
money-diary-perth-australia-accountant-salary,Accountant,26,"Perth, Australia",65000,-31.9527121,115.8604796
money-diary-new-york-ny-leasing-administrator-salary,Leasing Administrator,23,"New York, NY",45000,40.7127281,-74.0060152
money-diary-saint-louis-mo-research-technician-salary,Research Technician,23,"Saint Louis, MO",29500,38.6529545,-90.24111656024635
money-diary-boston-ma-safety-professional-joint-salary,Safety Professional,30,"Boston, MA",90000,42.3602534,-71.0582912
money-diary-mountain-view-ca-engineer-salary,Engineer,25,"Mountain View, CA",122000,37.3893889,-122.0832101
money-diary-tallahassee-florida-medical-student-salary,Medical Student,25,"Tallahassee, FL",19000,30.4380832,-84.2809332
money-diary-englewood-colorado-engineer-salary,Test Engineer,23,"Englewood, CO",64760,39.6482059,-104.9879641
money-diary-portland-or-office-manager-salary,Office Manager,24,"Portland, OR",43000,45.5202471,-122.6741949
money-diary-new-york-city-registered-nurse-salary,Registered Nurse,24,New York City,94000,40.7127281,-74.0060152
money-diary-phoenix-assistant-salary,Assistant,23,Phoenix,37800,33.4484367,-112.0741417
money-diary-singapore-structural-engineer-salary,Structural Engineer,28,Singapore,48630,1.357107,103.8194992
money-diary-long-beach-project-director-salary,Project Director,31,"Long Beach, CA",75000,33.7690164,-118.191604
money-diary-charlotte-north-carolina-associate-salary,Associate Marketer,25,"Charlotte, NC",68250,35.2272086,-80.8430827
money-diary-cleveland-oh-childrens-librarian-salary,Children's Librarian,28,"Cleveland, OH",27000,41.5051613,-81.6934446
money-diary-london-freelance-copywriter-joint-salary,Writer/Freelance Copywriter,26,London,16825,51.5073219,-0.1276474
money-diary-kansas-city-mo-associate-consultant-salary,Associate Consultant,24,"Kansas City, MO",49500,39.100105,-94.5781416
money-diary-south-korea-english-teacher-salary,ESL Teacher,23,"Ulsan, South Korea",23000,35.5391697,129.3119136
money-diary-los-angeles-ca-project-engineer-salary,Project Engineer,28,"Los Angeles, CA",71400,34.0536909,-118.242766
money-diary-missoula-mt-freelance-graphic-designer-salary,Freelance Graphic Designer,29,"Missoula, MT",18000,46.8701049,-113.995267
money-diary-worcester-ma-program-manager-salary,Program Manager,27,"Worcester, MA",51000,42.2761217,-71.8058232
money-diary-seattle-behavioral-health-manager-salary,Behavioral Health Manager,24,Seattle,52000,47.6038321,-122.3300624
money-diary-brooklyn-new-york-city-recruiting-director-salary,Recruiting Director,27,"Brooklyn, NY",70000,40.6501038,-73.9495823
money-diary-austin-tx-senior-associate-executive-recruiter-salary,Executive Recruiter,26,"Austin, TX",80000,30.2711286,-97.7436995
money-diary-somerville-ma-it-analyst-salary,IT Analyst,22,"Somerville, MA",65000,42.3875968,-71.0994968
money-diary-san-francisco-ca-healthcare-professional-salary,Healthcare Professional,25,"San Francisco, CA",75000,37.7790262,-122.4199061
money-diary-bergen-county-new-jersey-web-writer-salary,Web Writer,25,"Bergen County, New Jersey",60000,40.9678345,-74.0563254
money-diary-denver-co-policy-aide-salary,Policy Aide,23,"Denver, CO",50000,5.3428475,-72.3959849
money-diary-columbus-oh-environmental-scientist-salary,Environmental Scientist,31,"Columbus, OH",52700,39.9622601,-83.0007065
money-diary-brooklyn-ny-artists-agent-salary,Artist's Agent,30,"Brooklyn, NY",75000,40.6501038,-73.9495823
money-diary-southern-connecticut-registered-nurse-salary,Registered Nurse,25,Southern Connecticut,87193,41.33421815,-72.94482438173226
money-diary-arlington-va-policy-analyst-salary,Policy Analyst,29,"Arlington, VA",81600,32.701938999999996,-97.10562379033699
money-diary-palo-alto-ca-executive-personal-assistant-salary,Executive Personal Assistant,28,"Palo Alto, CA",97000,37.4443293,-122.1598465
money-diary-columbus-oh-academic-program-manager-salary,Academic Program Manager,30,"Columbus, OH",48659,39.9622601,-83.0007065
money-diary-seattle-wa-project-management-coordinator-salary,Project Management Coordinator,25,"Seattle, WA",0,47.6038321,-122.3300624
money-diary-chattanooga-tn-student-after-school-teacher-salary,Student & After-School Teacher,19,"Chattanooga, TN",0,35.0457219,-85.3094883
money-diary-new-york-ny-service-coordinator-salary,Service Coordinator,25,"New York, NY",67000,40.7127281,-74.0060152
money-diary-detroit-mi-senior-executive-assistant-salary,Senior Executive Assistant,28,"Detroit, MI",65000,42.3315509,-83.0466403
money-diary-marseille-child-care-assistant-salary,Child Care Assistant,30,Marseille,19100,43.2961743,5.3699525
money-diary-singapore-video-producer-salary,Video Producer,22,Singapore,20800,1.357107,103.8194992
